"","date","highTemp"
"1","Mar27",57
"2","Mar28",50
"3","Mar29",54
"4","Mar30",40
"5","Mar31",39
"6","Apr1",58
"7","Apr2",60
"8","Apr3",53
"9","Apr4",55
"10","Apr5",44
"11","Apr6",39
"12","Apr7",53
"13","Apr8",61
"14","Apr9",75
