highTemp, lowTemp,precipitation
57,45,0.010
50,43,0.005
54,42,0.040
40,38,1.110
39,37,0.120
58,45,0.000
60,46,0.005
53,50,0.490
55,48,0.450
44,40,0.300
39,36,1.130
53,43,0.004
61,45,0.000
75,63,0.000
